source,record_id,carrier_id,family,carrier_status,raw_local_permutations_expected,raw_local_permutations_checked,canonicalizations_completed,theoretical_configuration_classes,theoretical_class_multiplicities,canonical_classes_observed,representation_invariance_passed,formal_class_separation_passed,global_symmetry_quotient,passed,seconds,issues
rota,RotA-0246,RotA-0246:local:1,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,1.139427120999244,
rota,RotA-0246,RotA-0246:local:2,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,1.1407481759997609,
rota,RotA-0247,RotA-0247:local:0,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,1.015985437999916,
rota,RotA-0247,RotA-0247:local:1,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,1.0754334549992564,
rota,RotA-0247,RotA-0247:local:2,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.9960509130005448,
rota,RotA-0248,RotA-0248:local:0,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.8534954070000822,
rota,RotA-0248,RotA-0248:local:1,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,1.0880088409994642,
rota,RotA-0248,RotA-0248:local:2,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.8662569500002064,
rota,RotA-0249,RotA-0249:local:0,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.44049132200052554,
rota,RotA-0249,RotA-0249:local:1,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.42478686799950083,
rota,RotA-0249,RotA-0249:local:2,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.28984805599975516,
rota,RotA-0249,RotA-0249:local:3,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.27802961400084314,
rota,RotA-0249,RotA-0249:local:4,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.28912246900017635,
rota,RotA-0249,RotA-0249:local:5,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.27747714900033316,
rota,RotA-0249,RotA-0249:local:6,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.6836938339993139,
rota,RotA-0250,RotA-0250:local:0,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.14739772000029916,
rota,RotA-0250,RotA-0250:local:1,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.14669154500006698,
rota,RotA-0250,RotA-0250:local:2,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.18349634100013645,
rota,RotA-0250,RotA-0250:local:3,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.17366849100017134,
rota,RotA-0250,RotA-0250:local:4,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.26561985300031665,
rota,RotA-0251,RotA-0251:local:0,atrop_bond,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.07319174500025838,
rota,RotA-0251,RotA-0251:local:1,atrop_bond,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.07400325900016469,
rota,RotA-0251,RotA-0251:local:2,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.13022180100051628,
rota,RotA-0252,RotA-0252:local:0,atrop_bond,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.07241684600012377,
rota,RotA-0252,RotA-0252:local:1,atrop_bond,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.07257325199952902,
rota,RotA-0252,RotA-0252:local:2,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.13896251899950585,
rota,RotA-0253,RotA-0253:local:0,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.12868384000012156,
rota,RotA-0253,RotA-0253:local:1,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.11327348300073936,
rota,RotA-0253,RotA-0253:local:2,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.1735483700003897,
rota,RotA-0254,RotA-0254:local:0,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.06360322700038523,
rota,RotA-0255,RotA-0255:local:0,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.11898058899987518,
rota,RotA-0255,RotA-0255:local:1,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.10663578399999096,
rota,RotA-0255,RotA-0255:local:2,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.1168939129993305,
rota,RotA-0255,RotA-0255:local:3,tetrahedral,confirmed,24,24,24,2,12;12,2,true,true,false,true,0.1298263329999827,
